Id,parent,type,attribute,tree branch cond,tree branch value, child_node id,class
1 , 0 , Decision , x1 , <= , 0.575648051 , 2,
,,,,> , 0.575648051 , 33,

2 , 1 , Decision , x2 , <= , 0.536733255 , 3,
,,,,> , 0.536733255 , 8,

3 , 2 , Decision , x2 , <= , 0.501180635 , 4,
,,,,> , 0.501180635 , 5,

4 , 3 , Leaf ,   , ,,,0,
5 , 3 , Decision , x1 , <= , 0.474676158 , 6,
,,,,> , 0.474676158 , 7,

6 , 5 , Leaf ,   , ,,,0,
7 , 5 , Leaf , x1 , ,,,1,
8 , 2 , Decision , x1 , <= , 0.274350339 , 9,
,,,,> , 0.274350339 , 24,

9 , 8 , Decision , x2 , <= , 0.763103142 , 10,
,,,,> , 0.763103142 , 11,

10 , 9 , Leaf ,   , ,,,0,
11 , 9 , Decision , x1 , <= , 0.124498087 , 12,
,,,,> , 0.124498087 , 15,

12 , 11 , Decision , x2 , <= , 0.921101785 , 13,
,,,,> , 0.921101785 , 14,

13 , 12 , Leaf ,   , ,,,0,
14 , 12 , Leaf , x1 , ,,,1,
15 , 11 , Decision , x2 , <= , 0.836016056 , 16,
,,,,> , 0.836016056 , 23,

16 , 15 , Decision , x1 , <= , 0.22189409 , 17,
,,,,> , 0.22189409 , 22,

17 , 16 , Decision , x1 , <= , 0.176010178 , 18,
,,,,> , 0.176010178 , 19,

18 , 17 , Leaf ,   , ,,,0,
19 , 17 , Decision , x2 , <= , 0.788833514 , 20,
,,,,> , 0.788833514 , 21,

20 , 19 , Leaf ,   , ,,,0,
21 , 19 , Leaf , x1 , ,,,1,
22 , 16 , Leaf ,   , ,,,1,
23 , 15 , Leaf ,   , ,,,1,
24 , 8 , Decision , x2 , <= , 0.630764851 , 25,
,,,,> , 0.630764851 , 32,

25 , 24 , Decision , x1 , <= , 0.406988351 , 26,
,,,,> , 0.406988351 , 27,

26 , 25 , Leaf ,   , ,,,0,
27 , 25 , Decision , x2 , <= , 0.574891189 , 28,
,,,,> , 0.574891189 , 31,

28 , 27 , Decision , x1 , <= , 0.455897024 , 29,
,,,,> , 0.455897024 , 30,

29 , 28 , Leaf ,   , ,,,0,
30 , 28 , Leaf ,   , ,,,1,
31 , 27 , Leaf ,   , ,,,1,
32 , 24 , Leaf ,   , ,,,1,
33 , 1 , Decision , x2 , <= , 0.280699761 , 34,
,,,,> , 0.280699761 , 45,

34 , 33 , Decision , x1 , <= , 0.786347202 , 35,
,,,,> , 0.786347202 , 36,

35 , 34 , Leaf ,   , ,,,0,
36 , 34 , Decision , x2 , <= , 0.105293279 , 37,
,,,,> , 0.105293279 , 40,

37 , 36 , Decision , x1 , <= , 0.94414585 , 38,
,,,,> , 0.94414585 , 39,

38 , 37 , Leaf ,   , ,,,0,
39 , 37 , Leaf ,   , ,,,1,
40 , 36 , Decision , x1 , <= , 0.830750548 , 41,
,,,,> , 0.830750548 , 44,

41 , 40 , Decision , x2 , <= , 0.202833945 , 42,
,,,,> , 0.202833945 , 43,

42 , 41 , Leaf ,   , ,,,0,
43 , 41 , Leaf ,   , ,,,1,
44 , 40 , Leaf ,   , ,,,1,
45 , 33 , Decision , x2 , <= , 0.381722215 , 46,
,,,,> , 0.381722215 , 49,

46 , 45 , Decision , x1 , <= , 0.647719403 , 47,
,,,,> , 0.647719403 , 48,

47 , 46 , Leaf ,   , ,,,0,
48 , 46 , Leaf ,   , ,,,1,
49 , 45 , Leaf ,   , ,,,1,
